Ecotype,Recording,Maximum.Frequency..kHz.,Minimum.Frequency..kHz.,Fundamental.frequency.Start..kHz.,Fundamental.frequency.End..kHz.,Delta.Frequency..kHz.,Peak.Frequency..kHz.,Duration..s.
Coastal,Cc 000_0057sel.21-011,17.21559658,6.004511541,6.004511541,17.21559658,11.21108504,12.140625,0.533
Coastal,12-18ZOOM0093sel.11,15.66470623,9.762444338,9.762444338,15.66470623,5.902261892,12.70458984,0.534
Coastal,DR0000_0366.wavsel.48,16.3409129,7.957282907,9.112630907,16.3409129,8.383629993,8.109375,0.722
Coastal,12-15ZOOM0100sel.29,13.33408433,3.911755174,5.23298292,10.66407559,9.422329156,7.92421875,0.718
Coastal,Cc 000_0017sel.26,21.61275425,9.846014057,12.79608175,21.61275425,11.76674019,9.905273438,0.858
Coastal,3-10ZOOM314sel.13,18.30731136,9.86443143,10.94477742,18.30731136,8.44287993,15.63310547,0.793
Coastal,3-10ZOOM310sel.10,14.04528756,4.454410734,4.454410734,5.178879781,9.590876826,7.622753906,0.661
Coastal,2018_0128sel.28,20.54664369,7.595121675,11.28698537,14.937127,12.95152202,7.96875,1.248
Coastal,2018_0241sel.04,19.29913216,5.123104917,8.57733067,10.28838151,14.17602724,6.5625,1.304
Coastal,3-10ZOOM310sel.21,21.1745112,5.598697286,5.627865765,21.1745112,15.57581391,13.91044922,0.7
Coastal,3-10ZOOM310sel.27,10.71963403,8.013132188,8.013132188,10.71963403,2.706501842,9.603808594,0.308
Coastal,12-15ZOOM0100sel.66,21.39571879,2.338589695,2.338589695,21.39571879,19.0571291,10.24980469,0.535
Coastal,2018_0241sel.11,17.57844206,6.195339938,8.559903442,16.68532306,11.38310212,6.421875,1.024
Coastal,Cc 000_0057sel.24,15.51066982,5.134999407,5.353736686,7.169242569,10.37567041,15.234375,0.748
Coastal,2018_0128sel.27,21.35627943,8.779653566,21.35627943,17.60362343,12.57662586,9.421875,0.879
Coastal,Cc 000_0057sel.10,13.97458852,6.325916367,6.325916367,13.97458852,7.648672153,8.15625,0.307
Coastal,2018_0128sel.26,18.65430732,3.54027348,3.54027348,18.65430732,15.11403384,4.03125,1.296
Coastal,12-15ZOOM0100sel.25,18.69181797,5.569679983,5.569679983,17.47084352,13.12213799,8.61328125,1.326
Coastal,Cc 000_0030sel.12,19.57762513,5.261142175,5.261142175,9.303672987,14.31648296,5.859375,1.539
Coastal,12-18ZOOM0093sel.49,13.75636404,6.785572674,6.964183809,13.75636404,6.970791366,8.656347656,0.938
Coastal,2018_0128sel.08,21.56362501,5.013016764,6.200333282,21.56362501,16.55060825,5.390625,0.633
Coastal,Cc 000_0012sel.17,19.04426397,5.882366111,5.882366111,19.04426397,13.16189786,8.26875,0.88
Coastal,PR_21042017_77sel.11-03,17.56388598,8.957194249,8.957194249,12.12165588,8.606691731,12.31699219,0.811
Coastal,12-17ZOOM0096sel.06,12.85778001,5.74606726,5.74606726,11.0591162,7.11171275,10.37900391,0.926
Coastal,12-15ZOOM0100sel.02,14.34027931,6.964183809,6.964183809,13.61413875,7.376095501,8.397949219,0.72
Coastal,PR_21042017_77sel.47,11.43224798,7.226491666,11.43224798,8.698749716,4.205756314,7.407421875,0.097
Coastal,ZOOM0071sel.04,17.02276701,6.856460743,7.222165421,17.02276701,10.16630627,7.665820313,0.79
Coastal,PR_21042017_77sel.39,17.56388598,6.882331342,6.882331342,17.56388598,10.68155464,7.881152344,0.636
Coastal,ZOOM0139sel.03,14.64146675,3.364543101,3.772024103,14.64146675,11.27692365,13.56591797,1.151
Coastal,DR0000_0366.wavsel.41,15.83758132,11.46265267,12.99077204,15.83758132,4.37492865,12.609375,0.294
Coastal,ZOOM0139sel.06,13.82803289,6.084079592,7.07359933,13.26497554,7.743953298,8.785546875,0.934
Coastal,ZOOM0254sel.22,20.52451631,15.42240214,16.84677081,20.52451631,5.10211417,15.54697266,0.17
Coastal,3-15ZOOM372sel.15,12.79113985,8.753202009,9.077456111,12.79113985,4.037937841,9.474609375,0.078
Coastal,PR_21042017_77sel.01-02,20.28790273,8.218002629,18.53489227,20.28790273,12.0699001,8.61328125,0.743
Coastal,ZOOM0139sel.02,11.35021636,5.716286158,7.222165421,7.889183828,5.633930202,8.26875,0.91
Coastal,Cc 000_0017sel.25-02,20.65791906,8.367884814,11.17394101,20.65791906,12.29003425,8.484082031,0.357
Coastal,DR0000_0366.wavsel.36,14.56986872,9.402237937,13.97458852,14.56986872,5.167630783,9.75,0.305
Coastal,12-18ZOOM0093sel.46,14.192017,7.036937806,7.110451856,14.11846167,7.155079194,8.828613281,0.414
Coastal,2018_0128sel.14,18.71351184,6.195339938,7.397087092,18.71351184,12.5181719,6.375,0.8
Coastal,2018_0143sel.09_1,17.77453492,9.214213284,9.214213284,17.77453492,8.560321636,15.046875,1.045
