Ecotype,Recording,Maximum Frequency (kHz),Minimum Frequency (kHz),Fundamental frequency Start (kHz),Fundamental frequency End (kHz),Delta Frequency (kHz),Peak Frequency (kHz),Duration (s)
Oceanic,piceas-050827-153000sel.02_1,18.05483232,4.359523859,4.384677538,6.121481012,13.69530846,5.2734375,1.808
Oceanic,piceas-050827-082400sel.10_1,5.680344771,5.331999343,5.647758207,5.647758207,0.348345427,5.56640625,0.307
Oceanic,Acst1624-b07sel.01_1,15.28037582,5.615358584,7.19146431,15.28037582,9.665017236,6.201171875,0.842
Oceanic,HICEAS021126-131749sel.01_1,7.126377505,6.159969692,6.216332212,7.126377505,0.966407813,6.262207031,0.392
Oceanic,HICEAS021009-125551sel.08-1_1,12.99440861,6.52373015,7.14715408,11.38367904,6.470678465,6.665039063,1.267
Oceanic,HICEAS021009-125651sel.01_1,12.87635091,6.036766884,6.036766884,6.674293144,6.839584022,6.665039063,1.158
Oceanic,HICEAS021009-131051sel.02_1,12.81772488,6.34753116,8.500485717,6.405728936,6.470193724,6.701660156,1.339
Oceanic,ACST1335-810sel.06_1,7.061763745,6.330609091,6.655819262,6.535671858,0.731154654,6.73828125,0.2
Oceanic,PICEAS-050807-100000sel.51_1,18.87754259,5.926930564,5.993320318,10.11665753,12.95061203,6.890625,1.136
Oceanic,Acst1626-b07sel.04_1,16.65762374,6.263987898,16.65762374,6.300129997,10.39363584,6.93359375,0.775
Oceanic,HICEAS021126-132823sel.01-1_1,8.058792474,5.753223836,5.753223836,8.058792474,2.305568638,6.958007813,0.22
Oceanic,HICEAS021119-142233sel.04_1,12.99440861,6.674293144,6.674293144,9.102728913,6.320115471,6.994628906,1.046
Oceanic,HICEAS021009-125751sel.03_1,18.13143344,6.318630852,6.318630852,6.494027608,11.81280259,7.067871094,1.197
Oceanic,Acst1626-b07sel.08-2_1,16.65762374,3.753837234,3.775496209,16.65762374,12.9037865,7.12890625,0.993
Oceanic,HICEAS021009-125851sel.02_1,12.58587791,6.494027608,8.084316466,7.653516311,6.091850301,7.214355469,1.187
Oceanic,HICEAS021126-132823sel.01-2_1,7.492467152,6.809114256,6.840194357,7.15890575,0.683352896,7.250976563,0.122
Oceanic,PICEAS-050811-183000sel.28_1,19.30281992,7.28326929,7.743431196,19.30281992,12.01955063,7.265625,0.398
Oceanic,HICEAS021009-125551sel.06_1,16.54988513,5.92757386,5.92757386,7.480863372,10.62231127,7.287597656,1.201
Oceanic,HICEAS021009-125651sel.03_1,13.66334251,6.261224386,6.674293144,6.494027608,7.402118123,7.360839844,1.176
Oceanic,HICEAS021009-125651sel.02_1,12.93524507,5.954685542,6.204339473,8.776406829,6.980559532,7.397460938,1.184
Oceanic,Acst1647-b07sel.02_1,17.04540997,6.483992665,8.695031431,17.04540997,10.56141731,7.51953125,0.696
Oceanic,HICEAS021009-125551sel.04_1,12.52857441,6.34753116,12.52857441,6.34753116,6.181043249,7.580566406,0.77
Oceanic,HICEAS021009-125851sel.03_1,16.85475387,5.715077336,5.715077336,8.736447851,11.13967654,7.6171875,2.287
Oceanic,HICEAS021009-125851sel.01_1,12.07943981,6.85956261,7.794503267,10.29631381,5.219877199,7.763671875,1.269
Oceanic,HICEAS021009-130151sel.02_1,20.23003936,7.379146788,7.446803003,20.137932,12.85089257,7.91015625,1.137
Oceanic,PICEAS-050811-183000sel.46_1,19.19561072,7.786678952,11.0595702,10.22997797,11.40893177,7.96875,0.991
Oceanic,HICEAS020823-133003 sel.11-1_1,21.56466606,7.017876375,7.049974909,10.20276902,14.54678968,7.983398438,1.225
Oceanic,HICEAS020823-133003 sel.02-1_1,18.89160517,8.195753341,18.8055917,8.195753341,10.69585183,8.056640625,1.349
Oceanic,HICEAS021009-130651sel.02_1,12.24594678,7.653516311,8.384905426,7.688522151,4.592430465,8.056640625,0.808
Oceanic,PICEAS-050811-183000sel.32_1,21.10191944,8.141470801,8.999983668,21.10191944,12.96044864,8.109375,0.812
Oceanic,HICEAS020823-132703sel.08_1,19.41601091,7.938087371,16.54988513,19.41601091,11.47792354,8.166503906,0.586
Oceanic,HICEAS021009-125551sel.02_1,18.21436343,6.318630852,6.318630852,12.99440861,11.89573258,8.312988281,0.665
Oceanic,PICEAS-050807-100000sel.48_1,20.07023857,5.042941284,5.042941284,20.07023857,15.02729728,8.34375,1.181
Oceanic,STAR06-100606-0900sel.02_1,11.75832137,8.232666444,8.324883604,11.75832137,3.525654925,8.34375,0.381
Oceanic,Acst1628-b07sel.06-1_1,11.59314311,5.42482696,5.42482696,11.59314311,6.168316147,8.3984375,0.834
Oceanic,piceas-050827-082324sel03_1,16.85040135,6.016732511,6.016732511,16.85040135,10.83366884,8.447265625,1.054
Oceanic,PICEAS-050807-113000sel.24_1,18.05489047,5.66864472,5.700304607,18.05489047,12.38624575,8.484375,1.146
Oceanic,Acst1652-b07sel.03_1,18.58174361,5.713119353,9.925193328,18.58174361,12.86862426,8.544921875,1.002
Oceanic,HICEAS020823-133003 sel.02-3_1,20.32256801,7.179843908,7.179843908,18.38136308,13.1427241,8.569335938,1.583
Oceanic,ACST1721sel.04-3_1,17.55808879,7.700018513,7.700018513,11.86819563,9.858070277,8.569335938,0.789
Oceanic,HICEAS020823-132803sel.16-2_1,21.27145336,4.507808986,4.507808986,9.882004562,16.76364437,8.642578125,1.023
Oceanic,piceas-050827-082000sel.04_1,17.04540997,8.400005132,15.54640002,17.04540997,8.645404841,8.642578125,0.425
Oceanic,Acst1620-b07sel.01_1,15.28037582,6.521404152,6.750449933,15.28037582,8.758971668,8.69140625,0.487
Oceanic,HICEAS020823-133003 sel.01_1,18.04888103,4.267595133,7.901945261,6.890937045,13.7812859,8.752441406,1.295
Oceanic,HICEAS020827-071115sel.04_1,20.23003936,8.617659205,13.60113331,14.63136426,11.61238016,8.825683594,1.626
Oceanic,HICEAS020827-071015sel.04-2_1,20.04624399,7.865967705,7.865967705,20.04624399,12.18027629,8.825683594,0.74
Oceanic,HICEAS020827-071115sel.07_1,20.04624399,8.423256511,19.50481634,14.30130054,11.62298748,8.825683594,1.513
Oceanic,HICEAS021119-142233sel.05_1,19.23961121,6.985923985,12.19019098,6.985923985,12.25368723,8.825683594,1.199
Oceanic,HICEAS021119-142233sel.05_1,19.77367713,8.657074865,11.22889625,10.39071627,11.11660227,8.862304688,0.734
Oceanic,HICEAS021009-130951sel.01_1,16.39952496,7.938087371,7.938087371,15.24479339,8.461437585,8.898925781,1.613
Oceanic,HICEAS020823-132903 sel.08_1,13.53920736,6.064377996,13.47756335,6.064377996,7.47482936,8.935546875,1.06
Oceanic,ACST1335-810sel.05_1,17.31983618,5.966694929,5.966694929,8.667924039,11.35314126,8.972167969,0.525
Oceanic,piceas-050827-152600sel.21-2_1,17.74588476,8.114989206,14.17921622,13.23332613,9.630895554,8.984375,1.022
Oceanic,HICEAS021119-142233sel.03_1,17.00928784,9.06128419,16.93184456,12.58587791,7.948003651,9.118652344,1.04
Oceanic,HICEAS020827-071115sel.05_1,15.17538385,8.423256511,9.186187909,8.617659205,6.752127341,9.118652344,1.319
Oceanic,piceas-050827-153000sel.01_1,18.79678894,8.897450069,8.948786778,14.0169984,9.899338875,9.130859375,0.714
Oceanic,Acst1636-b07sel.02_1,15.81705558,6.300129997,11.13553254,15.81705558,9.516925583,9.130859375,0.726
Oceanic,piceas-050827-152800sel.04-1_1,14.09787399,7.661290645,7.661290645,14.09787399,6.436583346,9.130859375,0.803
Oceanic,HICEAS020827-072126sel.05_1,20.6969341,8.461783007,8.461783007,8.539365446,12.23515109,9.155273438,1.688
Oceanic,HICEAS020827-071115sel.03_1,14.432423,9.06128419,9.484366539,9.06128419,5.371138808,9.155273438,0.79
Oceanic,HICEAS021119-142333sel.05_1,13.91901191,5.885730501,5.885730501,8.206939905,8.033281406,9.228515625,1.16
Oceanic,HICEAS020827-071215sel.03_1,19.86411846,8.121292711,12.41474893,8.657074865,11.74282575,9.265136719,3.111
Oceanic,HICEAS020827-071015sel.03_1,19.32760982,8.776406829,15.95659129,11.22889625,10.55120299,9.265136719,1.395
Oceanic,HICEAS020827-071015sel.05_1,16.10289039,9.186187909,12.58587791,12.13468905,6.916702481,9.265136719,0.879
Oceanic,piceas-050827-152000sel.01_1,17.4422238,7.884877354,7.884877354,11.52663646,9.557346442,9.27734375,0.977
