Ecotype,pc_1_value,pc_2_value,k2,# km_cats_3_value,# km_cats_4_value,# km_cats_5_value,# km_cats_6_value,# km_cats_7_value,# km_cats_8_value,# km_cats_9_value,# km_cats_10_value
Coastal,-0.124139169,-0.05202797,2,2,2,4,6,4,2,8,10
Coastal,-0.117800375,-0.178205425,2,2,2,4,6,4,2,9,9
Coastal,0.185452083,-0.089511777,2,1,4,3,1,1,3,2,4
Coastal,0.173755832,0.067486943,1,1,4,5,4,2,5,1,7
Coastal,0.011279665,0.09722342,1,3,3,5,5,5,7,3,3
Coastal,0.025441904,-0.104991174,2,1,1,2,3,3,4,4,6
Coastal,0.03026183,0.055272197,1,3,3,5,4,5,7,3,3
Coastal,0.038639406,0.039343493,1,3,3,5,4,5,7,3,5
Coastal,0.089348154,-0.076171339,2,1,1,2,3,3,4,5,5
Coastal,0.016995248,-0.116647649,2,1,1,2,3,3,4,4,6
Coastal,-0.097685399,-0.123008735,2,2,2,4,6,4,2,9,9
Coastal,0.196073484,-0.187535151,2,1,4,3,1,1,3,2,4
Coastal,-0.124467058,0.0858737,1,3,3,1,2,6,1,7,8
Coastal,0.041076902,-0.064723199,2,1,1,2,3,3,4,5,5
Coastal,0.055060882,0.227044861,1,3,3,5,5,2,6,6,3
Coastal,0.068140482,-0.065245102,2,1,1,2,3,3,4,5,5
Coastal,0.351009763,0.042550772,1,1,4,3,1,1,3,2,4
Coastal,0.170185197,0.042876129,1,1,4,3,4,2,5,1,7
Coastal,0.176010329,0.018516536,1,1,4,3,1,1,3,2,4
Coastal,0.088829947,-0.101424308,2,1,1,2,3,3,4,5,6
Coastal,0.255277754,-0.113998261,2,1,4,3,1,1,3,2,4
Coastal,-0.058774141,0.121922716,1,3,3,1,5,7,6,6,2
Coastal,0.129240699,0.063695245,1,1,4,5,4,2,5,1,7
Coastal,-0.079225583,0.164691968,1,3,3,1,5,7,6,6,2
Coastal,-0.096286693,-0.037587944,2,2,2,4,2,6,8,8,10
Coastal,-0.080841681,-0.034376874,2,2,2,4,2,6,8,8,10
Coastal,-0.163491834,-0.049870863,2,2,2,4,6,4,2,9,1
Coastal,0.235531369,-0.03299016,2,1,4,3,1,1,3,2,4
Coastal,0.354304767,-0.171843211,2,1,4,3,1,1,3,2,4
Coastal,0.216210903,-0.065698234,2,1,4,3,1,1,3,2,4
Coastal,0.323666837,0.008161657,1,1,4,3,1,1,3,2,4
Coastal,0.121955131,0.078271254,1,1,4,5,4,2,5,1,7
Coastal,0.002032253,0.223947665,1,3,3,1,5,7,6,6,2
Coastal,-0.004569385,-0.133986519,2,2,1,2,3,3,8,4,6
Coastal,-0.07257258,-0.065354948,2,2,2,4,6,4,8,8,10
Coastal,-0.025011697,-0.136691405,2,2,1,2,3,3,8,4,6
Coastal,-0.031276773,-0.15100499,2,2,1,2,3,3,8,4,6
Coastal,-0.113277139,0.135801643,1,3,3,1,5,7,1,6,2
Coastal,0.110772473,-0.085890709,2,1,4,3,1,1,4,5,6
Coastal,0.074621999,-0.05570059,2,1,1,2,3,3,4,5,5
Coastal,0.144537061,-0.044916851,2,1,4,3,1,1,3,2,4
Coastal,0.019468172,-0.118756345,2,1,1,2,3,3,4,4,6
